Directory	NumberOfFiles
2016-01-19-screens-bbbc022/	0
2016-01-19-screens-bbbc022/20641-Mito	3456
2016-01-19-screens-bbbc022/20590-Mito	3456
2016-01-19-screens-bbbc022/20585-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20595-Mito	3456
2016-01-19-screens-bbbc022/20646-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20640-ERSyto	3456
2016-01-19-screens-bbbc022/20608-Ph_golgi	3456
2016-01-19-screens-bbbc022/20589-ERSyto	3456
2016-01-19-screens-bbbc022/20641-Ph_golgi	3456
2016-01-19-screens-bbbc022/20646-Hoechst	3456
2016-01-19-screens-bbbc022/20594-Mito	3456
2016-01-19-screens-bbbc022/20591-Mito	3456
2016-01-19-screens-bbbc022/20630-Ph_golgi	3456
2016-01-19-screens-bbbc022/20595-ERSyto	3456
2016-01-19-screens-bbbc022/20607-ERSyto	3456
2016-01-19-screens-bbbc022/20641-ERSyto	3456
2016-01-19-screens-bbbc022/20585-Hoechst	3456
2016-01-19-screens-bbbc022/20591-Ph_golgi	3456
2016-01-19-screens-bbbc022/20596-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20592-Hoechst	3456
2016-01-19-screens-bbbc022/20626-Mito	3456
2016-01-19-screens-bbbc022/20640-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20625-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20593-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20626-ERSyto	3456
2016-01-19-screens-bbbc022/20593-Hoechst	3456
2016-01-19-screens-bbbc022/20608-Hoechst	3456
2016-01-19-screens-bbbc022/20594-ERSyto	3456
2016-01-19-screens-bbbc022/20630-Hoechst	3456
2016-01-19-screens-bbbc022/20594-Hoechst	3456
2016-01-19-screens-bbbc022/20630-Mito	3456
2016-01-19-screens-bbbc022/20633-Mito	3456
2016-01-19-screens-bbbc022/20630-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20585-Mito	3456
2016-01-19-screens-bbbc022/20639-Mito	3456
2016-01-19-screens-bbbc022/20596-ERSyto	3456
2016-01-19-screens-bbbc022/20595-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20589-Mito	3456
2016-01-19-screens-bbbc022/20593-ERSyto	3456
2016-01-19-screens-bbbc022/20625-ERSyto	3456
2016-01-19-screens-bbbc022/20595-Ph_golgi	3456
2016-01-19-screens-bbbc022/20607-Hoechst	3456
2016-01-19-screens-bbbc022/20607-Ph_golgi	3456
2016-01-19-screens-bbbc022/20640-Ph_golgi	3456
2016-01-19-screens-bbbc022/20633-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20586-ERSyto	3456
2016-01-19-screens-bbbc022/20608-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20641-Hoechst	3456
2016-01-19-screens-bbbc022/20608-ERSyto	3456
2016-01-19-screens-bbbc022/20641-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20594-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20591-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20626-Hoechst	3456
2016-01-19-screens-bbbc022/20640-Hoechst	3456
2016-01-19-screens-bbbc022/20639-Ph_golgi	3456
2016-01-19-screens-bbbc022/20646-Mito	3456
2016-01-19-screens-bbbc022/20586-Mito	3456
2016-01-19-screens-bbbc022/20596-Mito	3456
2016-01-19-screens-bbbc022/20592-Ph_golgi	3456
2016-01-19-screens-bbbc022/20590-ERSyto	3456
2016-01-19-screens-bbbc022/20590-Hoechst	3456
2016-01-19-screens-bbbc022/20646-Ph_golgi	3456
2016-01-19-screens-bbbc022/20586-ERSytoBleed	3456
